procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 16116148 2385184 100165504    0    0     0  1452 9500 1747 23  4 73  0  0
16  0    512 16114804 2385184 100165520    0    0     0    16 9646 2635 22  4 75  0  0
18  0    512 16104564 2385188 100165520    0    0     0   132 14358 3922 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0    512 16110476 2385188 100165648    0    0     0    48 16261 2718 23  3 73  0  0
18  0    512 16112792 2385188 100165664    0    0   104     4 16445 4589 23  3 74  0  0
16  0    512 16114224 2385188 100165824    0    0     0  1360 9979 4386 24  3 74  0  0
16  0    512 16114244 2385188 100165832    0    0     0     8 14943 3858 24  2 74  0  0
16  0    512 16116672 2385192 100165952    0    0   120   100 15837 2712 23  3 74  0  0
17  0    512 16118868 2385196 100165968    0    0     0   124 15224 2306 23  3 74  0  0
16  0    512 16122260 2385196 100166056    0    0     0     8 16788 2827 23  4 72  0  0
16  0    512 16124376 2385196 100166064    0    0     0     4 17181 2641 23  3 74  0  0
17  0    512 16122092 2385196 100166080    0    0     0  1560 16400 2471 23  3 74  0  0
16  0    512 16126696 2385196 100166080    0    0    44   172 15599 2958 23  3 73  0  0
16  0    512 16128740 2385196 100166232    0    0     0    80 17495 2470 23  3 74  0  0
19  0    512 16127040 2385196 100166240    0    0     0     4 15113 2789 23  5 73  0  0
16  0    512 16129976 2385196 100166256    0    0     0     4 12978 2227 21  6 73  0  0
17  0    512 16118912 2385196 100166256    0    0     0  2084 7723 1906 21  5 73  0  0
17  0    512 15993968 2385196 100166384    0    0     0    48 8014 1790 21  5 74  0  0
17  0    512 15951284 2385196 100166400    0    0     0     8 15701 3871 23  3 74  0  0
17  0    512 15955604 2385196 100166496    0    0     0     4 14441 3661 23  3 74  0  0
18  0    512 15957200 2385196 100166496    0    0     0     4 15586 3758 23  3 73  0  0
17  0    512 15957076 2385196 100166512    0    0     0  1572 12349 4870 23  3 74  0  0
17  0    512 16012448 2385196 100166512    0    0     0    60 16467 5265 23  3 74  0  0
16  0    512 16013548 2385200 100166520    0    0     0    36 15868 2266 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0    512 16017712 2385200 100166528    0    0     0     4 15186 2681 23  3 74  0  0
19  0    512 16013152 2385200 100166544    0    0     0     4 15563 2651 23  3 74  0  0
19  0    512 16018132 2385200 100166560    0    0     0   360 16300 4279 23  4 73  0  0
16  0    512 16022620 2385200 100166552    0    0    20  1236 16984 3187 23  3 74  0  0
19  0    512 16015796 2385204 100166576    0    0     0    52 16165 3175 23  3 74  0  0
16  0    512 16017176 2385204 100166720    0    0   128   128 16675 2830 23  3 74  0  0
17  0    512 16018136 2385204 100166736    0    0     0   112 11634 2237 24  2 74  0  0
19  0    512 16017928 2385204 100166872    0    0     0     8 9400 2620 24  2 73  0  0
17  0    512 16018196 2385204 100166848    0    0     0  1684 12929 3058 23  3 74  0  0
